Scientific Name ▴,Fangs,Toxicity,Rating ?,Common name
Zamenis situla,rear-fanged,unclear toxicity,???,Leopard snake
Zamenis scalaris,rear-fanged,unclear toxicity,???,Ladder Snake
Zamenis persicus,rear-fanged,unclear toxicity,???,Persian Rat Snake
Zamenis longissimus,rear-fanged,unclear toxicity,???,Aesculapian snake
Zamenis lineatus,rear-fanged,unclear toxicity,???,Italian Aesculapian snake
Zamenis hohenackeri,rear-fanged,unclear toxicity,???,Transcaucasian rat snake
Xylophis stenorhynchus,rear-fanged,non-venomous,---,Günther's mountain snake
Xylophis perroteti,rear-fanged,non-venomous,---,Perrotet's mountain snake
Xylophis captaini,rear-fanged,non-venomous,---,Captain's wood snake
Xyelodontophis uluguruensis,rear-fanged,unclear toxicity,???,Dagger tooth Vine Snake
Xerotyphlops wilsoni,non-fanged,non-venomous,---,Iranian Worm Snake
Xerotyphlops vermicularis,non-fanged,non-venomous,---,Eurasian Blind Snake
Xerotyphlops socotranus,non-fanged,non-venomous,---,Socotra Worm Snake
Xerotyphlops luristanicus,non-fanged,non-venomous,---,Lorestan blind snake
Xerotyphlops etheridgei,non-fanged,non-venomous,---,Mauritanian Blind Snake
Xenotyphlops grandidieri,non-fanged,non-venomous,---,Mocquard's blind snake
Xenopholis werdingorum,rear-fanged,unclear toxicity,???,Bolivian Flat headed Snake
Xenopholis undulatus,rear-fanged,unclear toxicity,???,Jensen's Ground Snake
Xenopholis scalaris,rear-fanged,unclear toxicity,???,Wucherer's Ground Snake
Xenophidion schaeferi,non-fanged,non-venomous,---,Malayan Spinejaw Snake
Xenophidion acanthognathus,non-fanged,non-venomous,---,Bornean spine jawed snake
Xenopeltis unicolor,non-fanged,non-venomous,---,Asian Sunbeam Snake
Xenopeltis hainanensis,non-fanged,non-venomous,---,Hainan Sunbeam Snake
Xenodon werneri,rear-fanged,venomous,?💀?,Guianan Green Snake
Xenodon severus,rear-fanged,venomous,?💀?,Amazon False Fer de lance
Xenodon semicinctus,rear-fanged,venomous,💀💀,Ringed Hognose Snake
Xenodon rabdocephalus,rear-fanged,venomous,💀💀,False Fer de lance
Xenodon pulcher,rear-fanged,venomous,💀💀,Falsche Korallenschlange
Xenodon neuwiedii,rear-fanged,venomous,💀💀,Neuwied's False Fer de lance
Xenodon nattereri,rear-fanged,venomous,💀💀,Natterer's False Fer de Lance
Xenodon merremii,rear-fanged,venomous,💀💀,Giant Mock Lancehead
Xenodon matogrossensis,rear-fanged,venomous,💀💀,Matto Grosso False Fer de Lance
Xenodon histricus,rear-fanged,venomous,💀💀,Jan's Hognose Snake
Xenodon guentheri,rear-fanged,venomous,💀💀,Günther's False Fer de lance
Xenodon dorbignyi,rear-fanged,venomous,💀💀,South American Hognose Snake
Xenodermus javanicus,rear-fanged,non-venomous,---,Dragon snake
Xenochrophis vittatus,rear-fanged,venomous,?💀?,Striped Keelback
Xenochrophis tytleri,rear-fanged,venomous,?💀?,Tytler’s Keelback
Xenochrophis trianguligerus,rear-fanged,venomous,?💀?,Triangle Keelback
Xenochrophis schnurrenbergeri,rear-fanged,venomous,?💀?,Bar necked Keelback
Xenochrophis sanctijohannis,rear-fanged,venomous,?💀?,St. John's Keelback
Xenochrophis punctulatus,rear-fanged,venomous,?💀?,Spotted Keelback Water Snake
Xenochrophis piscator,rear-fanged,venomous,?💀?,Checkered Keelback
Xenochrophis melanzostus,rear-fanged,venomous,?💀?,Andaman Keelback
Xenochrophis maculatus,rear-fanged,venomous,?💀?,Spotted Keelback
Xenochrophis flavipunctatus,rear-fanged,venomous,?💀?,Yellow Spotted Keelback
Xenochrophis cerasogaster,rear-fanged,venomous,?💀?,Painted Keelback
Xenochrophis bellulus,rear-fanged,venomous,?💀?,Burmese Keelback Water Snake
Xenochrophis asperrimus,rear-fanged,venomous,?💀?,Boulenger's Keelback
Xenocalamus transvaalensis,rear-fanged,venomous,💀💀,Transvaal Quill snouted Snake
Xenocalamus sabiensis,rear-fanged,venomous,💀💀,Sabi Quill snouted Snake
Xenocalamus michelli,rear-fanged,venomous,💀💀,Michell's Quill snouted Snake
Xenocalamus mechowii,rear-fanged,venomous,💀💀,Elongate Quill snouted Snake
Xenocalamus bicolor,rear-fanged,unclear toxicity,???,Slender Quill snouted Snake
Xenelaphis hexagonotus,rear-fanged,unclear toxicity,???,Malaysian Brown Snake
Xenelaphis ellipsifer,rear-fanged,unclear toxicity,???,Ocellated Brown Snake
Walterinnesia morgani,front-fanged,venomous,💀💀💀💀,Eastern black desert cobra
Walterinnesia aegyptia,front-fanged,venomous,💀💀💀💀,Western black desert cobra
Wallaceophis gujaratensis,rear-fanged,unclear toxicity,???,Wallace’s racer
Virginia valeriae,rear-fanged,unclear toxicity,???,Eastern Smooth Earth Snake
Vipera walser,front-fanged,venomous,💀💀💀,Walser's viper
Vipera ursinii,front-fanged,venomous,💀💀💀,Ursini's viper
Vipera transcaucasiana,front-fanged,venomous,💀💀💀,Transcaucasian long nosed viper
Vipera shemakhensis,front-fanged,venomous,💀💀💀,Shemakha Viper
Vipera seoanei,front-fanged,venomous,💀💀💀,Baskian viper
Vipera renardi,front-fanged,venomous,💀💀💀,Altai steppe viper
Vipera pontica,front-fanged,venomous,💀💀💀,Black Sea Viper
Vipera orlovi,front-fanged,venomous,💀💀💀,Orlov's viper
Vipera olguni,front-fanged,venomous,💀💀💀,Olgun's viper
Vipera monticola,front-fanged,venomous,💀💀💀,Atlas mountain viper
Vipera magnifica,front-fanged,venomous,💀💀💀,Magnificent viper
Vipera lotievi,front-fanged,venomous,💀💀💀,Caucasian meadow viper
Vipera latastei,front-fanged,venomous,💀💀💀,Lataste's viper
Vipera kaznakovi,front-fanged,venomous,💀💀💀,Kaukasusotter
Vipera graeca,front-fanged,venomous,💀💀💀,Greek meadow viper
Vipera eriwanensis,front-fanged,venomous,💀💀💀,Alburzi viper
Vipera dinniki,front-fanged,venomous,💀💀💀,Dinnik's viper
Vipera darevskii,front-fanged,venomous,💀💀💀,Darevsky's viper
Vipera berus,front-fanged,venomous,💀💀💀,Common European adder
Vipera barani,front-fanged,venomous,💀💀💀,Baran's adder
Vipera aspis,front-fanged,venomous,💀💀💀,Aspic viper
Vipera anatolica,front-fanged,venomous,💀💀💀,Anatolian meadow viper
Vipera ammodytes,front-fanged,venomous,💀💀💀,European nose horned viper
Vipera altaica,front-fanged,venomous,💀💀💀,Altai mountain viper
Vermicella vermiformis,front-fanged,venomous,💀💀,Centralian bandy bandy
Vermicella snelli,front-fanged,venomous,💀💀,Pilbara bandy bandy
Vermicella multifasciata,front-fanged,venomous,💀💀,Northern Bandy Bandy
Vermicella intermedia,front-fanged,venomous,💀💀,Intermediate bandy bandy
Vermicella annulata,front-fanged,venomous,💀💀,Eastern Bandy bandy
Urotheca pachyura,rear-fanged,unclear toxicity,???,Thick tailed Glass tailed Snake
Urotheca myersi,rear-fanged,unclear toxicity,???,Costa Rican Glass tailed Snake
Urotheca multilineata,rear-fanged,unclear toxicity,???,Many striped Glass tailed Snake
Urotheca lateristriga,rear-fanged,unclear toxicity,???,Culebra de labios manchados
Urotheca guentheri,rear-fanged,unclear toxicity,???,Orange bellied Litter Snake
Urotheca fulviceps,rear-fanged,unclear toxicity,???,Tawny headed Glass tailed Snake
Urotheca dumerilli,rear-fanged,unclear toxicity,???,Dumeril's boxtail snake
Urotheca decipiens,rear-fanged,unclear toxicity,???,Pale Ground Snake
Uropeltis woodmasoni,non-fanged,non-venomous,---,Wood Mason's Earth Snake
Uropeltis shorttii,non-fanged,non-venomous,---,Shevaroy Hills Earth Snake
Uropeltis rubromaculata,non-fanged,non-venomous,---,Red spotted Earth Snake
Uropeltis rubrolineata,non-fanged,non-venomous,---,Red lined Earth Snake
Uropeltis pulneyensis,non-fanged,non-venomous,---,Palni shieldtail
Uropeltis phipsonii,non-fanged,non-venomous,---,Phipson's shieldtail
Uropeltis petersi,non-fanged,non-venomous,---,Shieldtail earth snake
Uropeltis ocellata,non-fanged,non-venomous,---,Ocellated Earth Snake
Uropeltis nitida,non-fanged,non-venomous,---,Southern Earth Snake
Uropeltis myhendrae,non-fanged,non-venomous,---,Myhendra Mountain Uropeltis
Uropeltis madurensis,non-fanged,non-venomous,---,Madura Earth Snake
Uropeltis maculata,non-fanged,non-venomous,---,Spotted Earth Snake
Uropeltis macrorhyncha,non-fanged,non-venomous,---,Anaimalai Earth Snake
Uropeltis macrolepis,non-fanged,non-venomous,---,Bombay earth snake
Uropeltis liura,non-fanged,non-venomous,---,Günther's earth snake
Uropeltis grandis,non-fanged,non-venomous,---,Violet shieldtail
Uropeltis ellioti,non-fanged,non-venomous,---,Elliot's earth snake
Uropeltis dindigalensis,non-fanged,non-venomous,---,Sirumalai Hills earth snake
Uropeltis ceylanica,non-fanged,non-venomous,---,Kerala Shieldtail
Uropeltis broughami,non-fanged,non-venomous,---,Brougham's earth snake
Uropeltis bicatenata,non-fanged,non-venomous,---,Bicatenate Uropeltis
Uropeltis beddomii,non-fanged,non-venomous,---,Beddome's earth snake
Uropeltis arcticeps,non-fanged,non-venomous,---,Tirunelveli Earth Snake
Uromacer oxyrhynchus,rear-fanged,venomous,?💀?,Pointed Snake
Uromacer frenatus,rear-fanged,venomous,?💀?,Island Pointed Snake
Uromacer catesbyi,rear-fanged,venomous,?💀?,Catesby's Pointed Snake
Uromacerina ricardinii,rear-fanged,unclear toxicity,???,Sao Paulo Sharp Snake
Ungaliophis panamensis,non-fanged,non-venomous,🐍,Panamanian dwarf boa
Ungaliophis continentalis,non-fanged,non-venomous,---,Chiapan boa
Typhlops titanops,non-fanged,non-venomous,---,Titan Worm Snake
Typhlops tetrathyreus,non-fanged,non-venomous,---,Haitian Worm Snake
Typhlops syntherus,non-fanged,non-venomous,---,Barahona Worm Snake
Typhlops sylleptor,non-fanged,non-venomous,---,Pestel blind snake
Typhlops sulcatus,non-fanged,non-venomous,---,Island Worm Snake
Typhlops silus,non-fanged,non-venomous,---,Legler's blind snake
Typhlops schwartzi,non-fanged,non-venomous,---,Schwartz' Worm Snake
Typhlops rostellatus,non-fanged,non-venomous,---,Puerto Rican Worm Snake
Typhlops pusillus,non-fanged,non-venomous,---,Hispaniola Worm Snake
Typhlops proancylops,non-fanged,non-venomous,---,La Selle blind snake
Typhlops pachyrhinus,non-fanged,non-venomous,---,Pinar del Río Blind Snake
Typhlops oxyrhinus,non-fanged,non-venomous,---,Guantánamo Sharp snouted Blind Snake
Typhlops lumbricalis,non-fanged,non-venomous,---,Earthworm Blind Snake
Typhlops leptolepis,non-fanged,non-venomous,---,Small scaled blind snake
Typhlops jamaicensis,non-fanged,non-venomous,---,Jamaica Worm Snake
Typhlops hectus,non-fanged,non-venomous,---,Thomas' Worm Snake
Typhlops gonavensis,non-fanged,non-venomous,---,Gonave Island Worm Snake
Typhlops eperopeus,non-fanged,non-venomous,---,Bahoruco blind snake
Typhlops capitulatus,non-fanged,non-venomous,---,Richmond's Worm Snake
Typhlops agoralionis,non-fanged,non-venomous,---,La Hotte blind snake
Typhlophis squamosus,non-fanged,non-venomous,---,Trinidad Blind Snake
Tropidophis xanthogaster,non-fanged,non-venomous,---,Guanahacabibes dwarf boa
Tropidophis wrighti,non-fanged,non-venomous,---,Wright's Dwarf Boa
Tropidophis taczanowskyi,non-fanged,non-venomous,---,Taczanowsky's Dwarf Boa.
Tropidophis stullae,non-fanged,non-venomous,---,Stull’s Dwarf Boa
Tropidophis stejnegeri,non-fanged,non-venomous,---,Stejneger’s Dwarf Boa
Tropidophis spiritus,non-fanged,non-venomous,---,Sancti Spiritus dwarf boa
Tropidophis semicinctus,non-fanged,non-venomous,---,Banded Dwarf Boa
Tropidophis schwartzi,non-fanged,non-venomous,---,Schwartz’ Dwarf Boa
Tropidophis preciosus,non-fanged,non-venomous,---,Gem dwarf boa
Tropidophis pilsbryi,non-fanged,non-venomous,---,Pilsbry's Dwarf Boa
Tropidophis paucisquamis,non-fanged,non-venomous,---,Brazilian Dwarf Boa
Tropidophis parkeri,non-fanged,non-venomous,---,Parker’s Dwarf Boa
Tropidophis pardalis,non-fanged,non-venomous,---,Leopard Dwarf Boa
Tropidophis nigriventris,non-fanged,non-venomous,---,Blackbelly Dwarf Boa
Tropidophis morenoi,non-fanged,non-venomous,---,Zebra dwarf boa
Tropidophis melanurus,non-fanged,non-venomous,---,Wood Snake
Tropidophis maculatus,non-fanged,non-venomous,---,Spotted Dwarf Boa
Tropidophis jamaicensis,non-fanged,non-venomous,---,Jamaica Dwarf Boa
Tropidophis hendersoni,non-fanged,non-venomous,---,Cuban khaki dwarf boa
Tropidophis hardyi,non-fanged,non-venomous,---,Blackbelly Dwarf Boa
Tropidophis haetianus,non-fanged,non-venomous,---,Haitian Dwarf Boa
Tropidophis greenwayi,non-fanged,non-venomous,---,Ambergris Cay Dwarf Boa
Tropidophis grapiuna,non-fanged,non-venomous,---,Grapiúna dwarf boa
Tropidophis galacelidus,non-fanged,non-venomous,---,Pilsbry's Dwarf Boa
Tropidophis fuscus,non-fanged,non-venomous,---,Cuban dusky dwarf boa
Tropidophis feicki,non-fanged,non-venomous,---,Feick's Dwarf Boa
Tropidophis curtus,non-fanged,non-venomous,---,Bahama Wood Snake
Tropidophis celiae,non-fanged,non-venomous,---,Canasi dwarf boa
Tropidophis caymanensis,non-fanged,non-venomous,---,Cayman Islands Dwarf Boa
Tropidophis canus,non-fanged,non-venomous,---,Bahamian pygmy boa
Tropidophis bucculentus,non-fanged,non-venomous,---,Navassa Dwarf Boa
Tropidophis battersbyi,non-fanged,non-venomous,---,Battersby's Dwarf Boa
Tropidonophis truncatus,rear-fanged,unclear toxicity,???,Truncated Keelback
Tropidonophis statisticus,rear-fanged,unclear toxicity,???,Montane keelback
Tropidonophis punctiventris,rear-fanged,unclear toxicity,???,Halmahera Keelback
Tropidonophis picturatus,rear-fanged,unclear toxicity,???,Painted Keelback
Tropidonophis parkeri,rear-fanged,unclear toxicity,???,Highland keelback
Tropidonophis novaeguineae,rear-fanged,unclear toxicity,???,New Guinea keelback
Tropidonophis negrosensis,rear-fanged,unclear toxicity,???,Negros Spotted Water Snake
Tropidonophis multiscutellatus,rear-fanged,unclear toxicity,???,Many scaled keelback
Tropidonophis montanus,rear-fanged,unclear toxicity,???,North Irian montane keelback
Tropidonophis mcdowelli,rear-fanged,unclear toxicity,???,Northern New Guinea keelback
Tropidonophis mairii,rear-fanged,unclear toxicity,???,Common keelback
Tropidonophis hypomelas,rear-fanged,unclear toxicity,???,Bismarck keelback
Tropidonophis halmahericus,rear-fanged,unclear toxicity,???,Red spotted Keelback
Tropidonophis elongatus,rear-fanged,unclear toxicity,???,Moluccan keelback
Tropidonophis doriae,rear-fanged,unclear toxicity,???,Barred keelback
Tropidonophis dolasii,rear-fanged,unclear toxicity,???,D'Entrecasteaux Islands Keelback
Tropidonophis dendrophiops,rear-fanged,unclear toxicity,???,Spotted Water Snake
Tropidonophis dahlii,rear-fanged,unclear toxicity,???,New Britain keelback
Tropidonophis aenigmaticus,rear-fanged,unclear toxicity,???,East Papuan keelback
Tropidolaemus wagleri,front-fanged,venomous,💀💀💀,Wagler's pitviper
Tropidolaemus subannulatus,front-fanged,venomous,💀💀💀,North Philippine temple pitviper
Tropidolaemus philippensis,front-fanged,venomous,💀💀💀,South Philippine temple pitviper
Tropidolaemus laticinctus,front-fanged,venomous,💀💀💀,Broad banded temple pitviper
Tropidolaemus huttoni,front-fanged,venomous,💀💀💀,Hutton's tree viper
Tropidodryas striaticeps,rear-fanged,unclear toxicity,???,Jiboinha
Tropidodryas serra,rear-fanged,unclear toxicity,???,Serra Snake
Tropidodipsas zweifeli,rear-fanged,unclear toxicity,???,Zweifel’s Snail Eating Snake
Tropidodipsas sartorii,rear-fanged,unclear toxicity,???,Terrestrial Snail Sucker
Tropidodipsas repleta,rear-fanged,unclear toxicity,???,Sonora snail eater
Tropidodipsas philippii,rear-fanged,unclear toxicity,???,Philippi’s Snail Eating Snake
Tropidodipsas fischeri,rear-fanged,unclear toxicity,???,Fischer’s Snail Eating Snake
Tropidodipsas fasciata,rear-fanged,unclear toxicity,???,Banded Snail Sucker
Tropidodipsas annulifera,rear-fanged,unclear toxicity,???,Western Snail Eating Snake
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake
Tropidechis carinatus,front-fanged,venomous,💀💀💀💀,Clarence river snake
Trimorphodon vilkinsonii,rear-fanged,venomous,💀💀,Texas Lyre Snake
Trimorphodon tau,rear-fanged,venomous,💀💀,Mexican Lyre Snake
Trimorphodon quadruplex,rear-fanged,venomous,💀💀,Central American Lyre Snake
Trimorphodon paucimaculatus,rear-fanged,venomous,💀💀,Sinaloan Lyre Snake
Trimorphodon lyrophanes,rear-fanged,venomous,💀💀,Baja California Lyre Snake
Trimorphodon lambda,rear-fanged,venomous,💀💀,Sonoran Lyre Snake
Trimorphodon biscutatus,rear-fanged,venomous,💀💀,Coastal lyre snake
Trimetopon viquezi,rear-fanged,unclear toxicity,???,Viquez's Tropical Ground Snake
Trimetopon slevini,rear-fanged,unclear toxicity,???,Slevin's Tropical Ground Snake
Trimetopon simile,rear-fanged,unclear toxicity,???,Dunn's Tropical Ground Snake
Trimetopon pliolepis,rear-fanged,unclear toxicity,???,Cope's Tropical Ground Snake
Trimetopon gracile,rear-fanged,unclear toxicity,???,Günther's Tropical Ground Snake
Trimetopon barbouri,rear-fanged,unclear toxicity,???,Barbour's Tropical Ground Snake
Trimeresurus yunnanensis,front-fanged,venomous,💀💀💀,Yunnan Bamboo pitviper
Trimeresurus wiroti,front-fanged,venomous,💀💀💀,Wirot’s pitviper
Trimeresurus vogeli,front-fanged,venomous,💀💀💀,Vogel’s pitviper
Trimeresurus venustus,front-fanged,venomous,💀💀💀,Beautiful pitviper
Trimeresurus truongsonensis,front-fanged,venomous,💀💀💀,Quang Binh pitviper
Trimeresurus trigonocephalus,front-fanged,venomous,💀💀💀,Sri Lankan green pitviper
Trimeresurus tibetanus,front-fanged,venomous,💀💀💀,Tibetan bamboo pitviper
Trimeresurus sumatranus,front-fanged,venomous,💀💀💀,Sumatran pitviper
Trimeresurus strigatus,front-fanged,venomous,💀💀💀,Horseshoe pitviper
Trimeresurus stejnegeri,front-fanged,venomous,💀💀💀,Chinese green tree viper
Trimeresurus sichuanensis,front-fanged,venomous,💀💀💀,Sichuan pitviper
Trimeresurus septentrionalis,front-fanged,venomous,💀💀💀,Nepal pitviper
Trimeresurus schultzei,front-fanged,venomous,💀💀💀,Trimeresurus schultzei
Trimeresurus sabahi,front-fanged,venomous,💀💀💀,Sabah bamboo pitviper
Trimeresurus rubeus,front-fanged,venomous,💀💀💀,Ruby eyed Green Pit viper
Trimeresurus purpureomaculatus,front-fanged,venomous,💀💀💀,Mangrove pitviper
Trimeresurus puniceus,front-fanged,venomous,💀💀💀,Flat nosed pitviper
Trimeresurus popeiorum,front-fanged,venomous,💀💀💀,Pope's bamboo pitviper
Trimeresurus phuketensis,front-fanged,venomous,💀💀💀,Phuket Pit viper
Trimeresurus nebularis,front-fanged,venomous,💀💀💀,Cameron Highlands pitviper
Trimeresurus mutabilis,front-fanged,venomous,💀💀💀,Central Nicobar Pit Viper
Trimeresurus medoensis,front-fanged,venomous,💀💀💀,Motuo bamboo pitviper
Trimeresurus mcgregori,front-fanged,venomous,💀💀💀,Philippine pitviper
Trimeresurus malcolmi,front-fanged,venomous,💀💀💀,Kinabalu Green Pit viper
Trimeresurus malabaricus,front-fanged,venomous,💀💀💀,Malabar pitviper
Trimeresurus macrops,front-fanged,venomous,💀💀💀,Large eyed pitviper
Trimeresurus macrolepis,front-fanged,venomous,💀💀💀,Large scaled tree viper
Trimeresurus labialis,front-fanged,venomous,💀💀💀,Nicobar bamboo pitviper
Trimeresurus kanburiensis,front-fanged,venomous,💀💀💀,Kanburi pitviper
Trimeresurus insularis,front-fanged,venomous,💀💀💀,White lipped island pitviper
Trimeresurus honsonensis,front-fanged,venomous,💀💀💀,Hon Son pitviper
Trimeresurus hageni,front-fanged,venomous,💀💀💀,Hagen's pitviper
Trimeresurus gunaleni,front-fanged,venomous,💀💀💀,Gunalen’s pitviper
Trimeresurus gumprechti,front-fanged,venomous,💀💀💀,Gumprecht's green pitviper
Trimeresurus gramineus,front-fanged,venomous,💀💀💀,Bamboo pitviper
Trimeresurus gracilis,front-fanged,venomous,💀💀💀,Taiwan mountain pitviper
Trimeresurus flavomaculatus,front-fanged,venomous,💀💀💀,Philippine pitviper
Trimeresurus fasciatus,front-fanged,venomous,💀💀💀,Banded pitviper
Trimeresurus erythrurus,front-fanged,venomous,💀💀💀,Red tailed bamboo pitviper
Trimeresurus cardamomensis,front-fanged,venomous,💀💀💀,Cardamom Mountains green pitviper
Trimeresurus cantori,front-fanged,venomous,💀💀💀,Cantor's pitviper
Trimeresurus brongersmai,front-fanged,venomous,💀💀💀,Brongersma's pitviper
Trimeresurus borneensis,front-fanged,venomous,💀💀💀,Bornean pitviper
Trimeresurus andersonii,front-fanged,venomous,💀💀💀,Anderson’s pitviper
Trimeresurus andalasensis,front-fanged,venomous,💀💀💀,Sumatran Palm Pit viper
Trimeresurus albolabris,front-fanged,venomous,💀💀💀,White lipped pitviper
Trilepida salgueiroi,non-fanged,non-venomous,---,Espiritú Santo Blind Snake
Trilepida pastusa,non-fanged,non-venomous,---,Pastuso thread snake
Trilepida nicefori,non-fanged,non-venomous,---,Santander Blind Snake
Trilepida macrolepis,non-fanged,non-venomous,---,Big scaled Blind Snake
Trilepida koppesi,non-fanged,non-venomous,---,Amaral's Blind Snake
Trilepida joshuai,non-fanged,non-venomous,---,Joshua's Blind Snake
Trilepida jani,non-fanged,non-venomous,---,Jan's pallid blind snake
Trilepida guayaquilensis,non-fanged,non-venomous,---,Guayaquila Blind Snake
Trilepida fuliginosa,non-fanged,non-venomous,---,Brown blind snake
Trilepida dugandi,non-fanged,non-venomous,---,Dugand's Blind Snake
Trilepida dimidiata,non-fanged,non-venomous,---,Dainty Blind Snake
Trilepida brevissima,non-fanged,non-venomous,---,Caqueta Blind Snake
Trilepida brasiliensis,non-fanged,non-venomous,---,Brazilian Blind Snake
Trilepida anthracina,non-fanged,non-venomous,---,Bailey's Blind Snake
Trilepida affinis,non-fanged,non-venomous,---,Venezuela Blind Snake
Tricheilostoma sundewalli,non-fanged,non-venomous,---,Sundevalls Worm Snake
Tricheilostoma greenwelli,non-fanged,non-venomous,---,Greenwell's blind snake
Tricheilostoma dissimilis,non-fanged,non-venomous,---,Sudan Blind Snake
Tricheilostoma broadleyi,non-fanged,non-venomous,---,Broadley's blind snake
Tricheilostoma bicolor,non-fanged,non-venomous,---,Two colored Blind Snake
Tretanorhinus variabilis,rear-fanged,unclear toxicity,???,Caribbean Water Snake
Tretanorhinus taeniatus,rear-fanged,unclear toxicity,???,Striped Swamp Snake
Tretanorhinus nigroluteus,rear-fanged,unclear toxicity,???,Orangebelly Swamp Snake
Tretanorhinus mocquardi,rear-fanged,unclear toxicity,???,Mocquard's Swamp Snake
Trachyboa gularis,non-fanged,non-venomous,---,Southern Eyelash Boa
Trachyboa boulengeri,non-fanged,non-venomous,---,Northern Eyelash Boa
Trachischium tenuiceps,rear-fanged,unclear toxicity,???,Yellowbelly Worm eating Snake
Trachischium sushantai,rear-fanged,unclear toxicity,???,
Trachischium monticola,rear-fanged,unclear toxicity,???,Mountain Worm eating Snake
Trachischium laeve,rear-fanged,unclear toxicity,???,Olive Oriental Slender Snake
Trachischium guentheri,rear-fanged,unclear toxicity,???,Rosebelly Worm eating Snake
Trachischium fuscum,rear-fanged,unclear toxicity,???,Blackbelly Worm eating Snake
Toxicodryas pulverulenta,rear-fanged,venomous,💀💀,Fischer's Cat Snake
Toxicodryas blandingii,rear-fanged,venomous,💀💀,Blandings Tree Snake
Toxicocalamus stanleyanus,front-fanged,venomous,💀💀💀💀,Owen Stanley Range forest snake
Toxicocalamus spilolepidotus,front-fanged,venomous,💀💀💀💀,Spotted forest snake
Toxicocalamus preussi,front-fanged,venomous,💀💀💀💀,Preuss’s forest snake
Toxicocalamus pachysomus,front-fanged,venomous,💀💀💀💀,Fat forest snake
Toxicocalamus nigrescens,front-fanged,venomous,💀💀💀💀,
Toxicocalamus misimae,front-fanged,venomous,💀💀💀💀,Misima Island forest snake
Toxicocalamus mintoni,front-fanged,venomous,💀💀💀💀,Minton's forest snake
Toxicocalamus loriae,front-fanged,venomous,💀💀💀💀,Loria forest snake
Toxicocalamus longissimus,front-fanged,venomous,💀💀💀💀,Fergusson Island forest snake
Toxicocalamus holopelturus,front-fanged,venomous,💀💀💀💀,Mount Rossel forest snake
Toxicocalamus grandis,front-fanged,venomous,💀💀💀💀,Setekwa River forest snake
Toxicocalamus ernstmayri,front-fanged,venomous,💀💀💀💀,Star Mountains Worm Eating Snake
Toxicocalamus cratermontanus,front-fanged,venomous,💀💀💀💀,
Toxicocalamus buergersi,front-fanged,venomous,💀💀💀💀,Buerger’s forest snake
Tomodon orestes,rear-fanged,venomous,?💀?,Bolivian Pampas Snake
Tomodon ocellatus,rear-fanged,venomous,?💀?,Ocellated Pampas Snake
Tomodon dorsatus,rear-fanged,unclear toxicity,???,Pampas Snake
Thrasops schmidti,rear-fanged,venomous,?💀?,Schmidt’s bold eyed Tree Snake
Thrasops occidentalis,rear-fanged,venomous,?💀?,Western Black Tree Snake
Thrasops jacksonii,rear-fanged,venomous,?💀?,Black Tree Snake
Thrasops flavigularis,rear-fanged,venomous,?💀?,Yellow throated Bold eyed Tree snake
Thermophis zhaoermii,rear-fanged,unclear toxicity,???,Sichuan Hot spring Keel back
Thermophis shangrila,rear-fanged,unclear toxicity,???,Shangri-La hot spring snake
Thermophis baileyi,rear-fanged,unclear toxicity,???,Xizang Hot spring Keel back
Thelotornis usambaricus,rear-fanged,venomous,💀💀💀💀,Usambara vine snake
Thelotornis mossambicanus,rear-fanged,venomous,💀💀💀💀,Mozambique Vine Snake
Thelotornis kirtlandii,rear-fanged,venomous,💀💀💀💀,Northern twig snake
Thelotornis capensis,rear-fanged,venomous,💀💀💀💀,Southern twig snake
Thamnosophis stumpffi,non-fanged,unclear toxicity,???,Yellow striped Water Snake
Thamnosophis mavotenda,non-fanged,unclear toxicity,???,Yellow throated Water Snake
Thamnosophis martae,non-fanged,unclear toxicity,???,Antsiranana Water Snake
Thamnosophis lateralis,non-fanged,unclear toxicity,???,Lateral Water Snake
Thamnosophis infrasignatus,non-fanged,unclear toxicity,???,Ankafina Water Snake
Thamnosophis epistibes,non-fanged,unclear toxicity,???,Eastern Madagascar Water Snake
Thamnophis validus,rear-fanged,venomous,?💀?,West Coast Garter Snake
Thamnophis unilabialis,rear-fanged,venomous,?💀?,Madrean narrowheaded garter snake
Thamnophis sumichrasti,rear-fanged,venomous,?💀?,Sumichrast's Garter Snake
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake
Thamnophis scaliger,rear-fanged,venomous,?💀?,Short tail Alpine Garter Snake
Thamnophis scalaris,rear-fanged,venomous,?💀?,Longtail Alpine Garter Snake
Thamnophis saurita,rear-fanged,venomous,?💀?,Eastern ribbon snake
Thamnophis rufipunctatus,rear-fanged,venomous,?💀?,Narrowhead Garter Snake
Thamnophis rossmani,rear-fanged,venomous,?💀?,Rossman's Garter Snake
Thamnophis radix,rear-fanged,venomous,?💀?,Plains Gartersnake
Thamnophis pulchrilatus,rear-fanged,venomous,?💀?,Yellow throated gartersnake
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake
Thamnophis postremus,rear-fanged,venomous,?💀?,Tepalcatepec Valley Garter Snake
Thamnophis ordinoides,rear-fanged,venomous,?💀?,Northwestern Garter Snake
Thamnophis nigronuchalis,rear-fanged,venomous,?💀?,Southern Durango Spotted Garter Snake
