Scientific Name ▴,Fangs,Toxicity,Rating ?,Snake,Region,Venomous  /Non-venomous
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake,Connecticut,Non-Venomous
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake,Illinois,Non-Venomous
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake,Indiana,Non-Venomous
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake,Tennessee,Non-Venomous
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake,Virginia,Non-Venomous
Carphophis amoenus,rear-fanged,unclear toxicity,???,Eastern Wormsnake,West Viriginia,Non-Venomous
Atractus occidentalis,rear-fanged,unclear toxicity,???,Western Ground Snake,Oregon,Non-Venomous
Arizona elegans,rear-fanged,unclear toxicity,???,Glossy Snake,Arizona,Non-Venomous
Arizona elegans,rear-fanged,unclear toxicity,???,Glossy Snake,Colorado,Non-Venomous
Arizona elegans,rear-fanged,unclear toxicity,???,Glossy Snake,Nevada,Non-Venomous
Arizona elegans,rear-fanged,unclear toxicity,???,Glossy Snake,Texas,Non-Venomous
Antillotyphlops richardi,non-fanged,non-venomous,---,Ground Snake,Arizona,Non-Venomous
Antillotyphlops richardi,non-fanged,non-venomous,---,Ground Snake,Arkansas,Non-Venomous
Antillotyphlops richardi,non-fanged,non-venomous,---,Ground Snake,Colorado,Non-Venomous
Antillotyphlops richardi,non-fanged,non-venomous,---,Ground Snake,Idaho,Non-Venomous
Antillotyphlops richardi,non-fanged,non-venomous,---,Ground Snake,Kansas,Non-Venomous
Antillotyphlops richardi,non-fanged,non-venomous,---,Ground Snake,Utah,Non-Venomous
Agkistrodon piscivorus,front-fanged,venomous,💀💀💀💀,Cottonmouth,Indiana,Venomous
Agkistrodon piscivorus,front-fanged,venomous,💀💀💀💀,Cottonmouth,Kansas,Venomous
Agkistrodon piscivorus,front-fanged,venomous,💀💀💀💀,Cottonmouth,Louisiana,Venomous
Agkistrodon piscivorus,front-fanged,venomous,💀💀💀💀,Cottonmouth,Mississippi,Venomous
Agkistrodon piscivorus,front-fanged,venomous,💀💀💀💀,Cottonmouth,Texas,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Connecticut,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Indiana,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Kansas,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Louisiana,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Massachusetts,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Mississippi,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Nebraska,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Pennsylvania,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Tennessee,Venomous
Agkistrodon contortrix,front-fanged,venomous,💀💀💀,Copperhead,Texas,Venomous
Agkistrodon conanti,front-fanged,venomous,💀💀💀,Florida Cottonmouth,Alabama,venomous
Agkistrodon conanti,front-fanged,venomous,💀💀💀,Florida Cottonmouth,Florida,Venomous
Agkistrodon conanti,front-fanged,venomous,💀💀💀,Florida Cottonmouth,Georgia,Venomous
